,Categ,Priority,O*NET-SOC Code,Title,Description,Total Employment,Mean Hourly Wage,25th Percentile Hourly Wage,Median Hourly Wage,75th Percentile Hourly Wage,"Employment change, numeric, 2022-32","Employment change, percent, 2022-32",sustainable_wage,sustainable_wage_ind,stable_employment
321,,,19-4051.00,Nuclear Technicians,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.","5,880",46.65,37.70,48.28,51.67,-0.1,-1.3,23.26,True,False
322,,,19-4051.02,Nuclear Monitoring Technicians,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.","5,880",46.65,37.70,48.28,51.67,-0.1,-1.3,23.26,True,False
323,,,19-4061.00,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.","28,720",27.77,20.18,24.26,30.82,1.6,4.8,-0.759999999999998,False,True
324,,,19-4071.00,Forest and Conservation Technicians,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.","29,120",21.64,17.00,19.96,25.40,0.2,0.6,-5.059999999999999,False,True
325,,,19-4092.00,Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.","17,590",33.30,23.71,30.64,39.50,2.3,12.6,5.620000000000001,True,True
326,,,19-4099.00,"Life, Physical, and Social Science Technicians, All Other","All life, physical, and social science technicians not listed separately.","70,770",27.78,18.93,24.18,31.61,3.0,3.8,-0.8399999999999999,False,True
327,,,19-5011.00,Occupational Health and Safety Specialists,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.","109,430",39.47,29.00,37.77,47.63,15.2,13.3,12.750000000000004,True,True
328,,,19-5012.00,Occupational Health and Safety Technicians,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.","23,670",30.40,22.53,27.87,36.30,2.5,10.1,2.8500000000000014,True,True
330,,,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Advise and assist students and provide educational and vocational guidance services.,"308,000",30.87,22.78,28.92,36.82,18.4,5.4,3.900000000000002,True,True
331,,,21-1013.00,Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.","62,080",30.44,21.50,27.2,36.16,10.6,14.9,2.1799999999999997,True,True
